14,7,10,2,5,9,3,13,6,15,0,11,1,12,8,4
7,4,0,5,13,3,2,10,1,8,15,6,14,9,12,11
3,2,12,4,1,5,14,8,13,11,15,6,7,10,0,9
11,0,1,12,5,13,9,6,8,4,10,14,7,2,3,15
8,5,2,9,11,15,14,0,1,13,4,3,10,12,7,6
6,13,0,11,5,10,7,8,9,2,12,1,15,4,14,3
11,14,5,2,9,1,4,6,10,8,0,13,15,7,12,3
13,2,11,7,8,14,6,0,3,12,9,4,10,15,1,5
2,14,15,0,6,11,13,3,9,1,12,7,10,8,5,4
9,0,14,3,2,15,4,10,5,6,1,8,11,12,7,13
15,1,10,5,12,9,2,7,11,14,13,3,8,6,4,0
9,15,5,7,0,11,13,14,8,12,1,3,10,4,2,6
9,10,13,3,1,12,5,4,15,11,2,7,14,0,6,8
15,3,1,11,2,7,13,8,4,9,0,10,6,12,5,14
4,9,0,14,1,15,2,8,6,5,11,13,12,3,10,7
4,6,7,10,2,1,13,8,12,9,0,15,14,11,5,3
2,4,1,6,8,10,3,14,15,11,13,9,5,0,12,7
10,2,15,5,11,14,9,1,3,13,7,6,0,8,4,12
9,8,14,2,3,6,12,10,1,0,5,11,15,4,13,7
2,12,11,3,1,4,7,14,10,5,15,6,0,9,8,13
2,5,1,9,10,15,3,12,0,7,4,13,11,14,8,6
2,8,15,4,12,5,7,6,10,14,3,1,0,11,13,9
9,0,10,6,3,2,15,7,8,12,4,1,11,5,13,14
4,11,8,9,5,2,13,10,15,12,1,7,0,14,3,6
0,12,8,10,13,4,1,7,2,11,14,15,6,9,5,3
12,2,5,3,14,4,10,6,7,15,11,0,1,8,13,9
5,8,1,9,15,10,0,4,13,6,7,11,3,12,2,14
14,3,9,7,2,10,4,12,0,15,8,11,1,13,6,5
0,11,5,4,2,3,14,12,1,10,15,7,9,6,8,13
6,8,9,10,3,0,7,5,15,4,2,1,12,13,11,14
