7,6,13,9,15,11,0,12,14,4,8,3,5,1,10,2
1,6,14,11,7,0,3,10,9,12,5,4,8,13,2,15
5,12,6,10,8,11,0,7,13,4,1,3,14,9,2,15
2,14,12,15,7,6,9,1,11,13,4,10,5,3,0,8
7,1,11,9,3,2,4,10,8,12,14,5,15,13,6,0
9,8,10,11,12,6,2,14,5,3,7,15,1,0,4,13
6,4,15,12,1,0,8,7,9,14,10,3,13,5,11,2
2,3,12,7,10,6,11,13,4,5,9,8,14,1,0,15
6,4,15,14,2,9,11,8,13,0,12,1,3,5,7,10
12,9,13,11,3,6,2,8,5,10,0,1,15,7,14,4
6,8,9,7,4,0,10,13,12,15,5,2,14,11,3,1
13,11,9,14,3,8,12,0,2,7,6,1,5,4,15,10
2,14,0,7,15,3,10,8,6,4,5,1,11,13,12,9
11,10,1,6,0,5,2,14,7,4,8,12,3,13,15,9
6,7,11,0,3,5,1,12,10,8,14,9,2,4,13,15
9,2,3,7,15,5,0,1,12,10,8,4,11,14,6,13
0,11,4,10,14,1,7,5,2,15,6,8,12,3,13,9
1,9,14,6,5,10,12,11,15,8,7,0,4,3,13,2
8,2,6,3,10,4,11,1,15,9,7,13,5,12,0,14
1,15,10,13,5,3,6,14,8,2,7,11,0,9,4,12
13,1,5,15,11,7,14,4,12,10,0,8,3,6,2,9
14,6,3,0,2,13,8,7,12,9,5,15,1,11,4,10
0,2,1,14,7,12,13,10,5,3,9,4,6,15,8,11
3,5,2,14,10,8,15,0,6,13,7,9,4,1,12,11
1,3,5,8,13,10,2,12,15,7,6,4,9,0,14,11
13,5,6,10,8,4,15,14,7,3,12,11,2,9,1,0
13,7,0,11,15,1,12,3,14,10,9,4,2,5,6,8
10,3,8,0,5,15,2,4,12,7,6,14,9,1,13,11
14,11,8,7,3,13,4,2,10,15,9,6,1,0,12,5
4,14,11,8,7,2,3,6,0,9,10,1,15,5,12,13
