14, 12, 6, 15, 8, 1, 4, 13, 9, 7, 11, 2, 0, 5, 3, 10
9, 0, 14, 3, 2, 15, 4, 10, 5, 6, 1, 8, 11, 12, 7, 13
14, 1, 13, 11, 5, 15, 4, 10, 7, 3, 12, 0, 9, 2, 6, 8
2, 15, 3, 13, 14, 9, 7, 0, 4, 6, 11, 5, 8, 10, 12, 1
6, 8, 15, 5, 12, 11, 10, 14, 1, 7, 13, 4, 3, 2, 9, 0
6, 14, 5, 2, 0, 8, 10, 12, 11, 4, 9, 13, 1, 15, 3, 7
15, 2, 14, 8, 5, 4, 7, 10, 3, 12, 0, 11, 13, 9, 6, 1
11, 10, 4, 8, 0, 7, 13, 15, 12, 1, 14, 5, 6, 3, 9, 2
8, 3, 0, 11, 15, 13, 9, 6, 14, 2, 4, 1, 12, 5, 10, 7
2, 3, 6, 10, 9, 14, 1, 13, 11, 5, 0, 7, 12, 8, 4, 15
12, 9, 1, 11, 8, 13, 4, 3, 15, 2, 0, 5, 7, 14, 6, 10
11, 0, 1, 12, 5, 13, 9, 6, 8, 4, 10, 14, 7, 2, 3, 15
2, 0, 7, 10, 1, 14, 11, 9, 13, 12, 4, 15, 5, 6, 3, 8
9, 14, 15, 1, 0, 8, 12, 4, 10, 13, 11, 7, 3, 2, 6, 5
3, 15, 6, 14, 10, 0, 12, 9, 2, 7, 8, 4, 1, 13, 5, 11
6, 12, 5, 8, 7, 10, 1, 11, 15, 13, 2, 4, 0, 9, 14, 3
7, 12, 0, 11, 9, 3, 13, 1, 5, 10, 4, 14, 2, 8, 15, 6
1, 7, 8, 2, 4, 3, 13, 11, 12, 9, 0, 14, 6, 10, 5, 15
7, 12, 5, 8, 10, 3, 14, 6, 13, 11, 4, 15, 0, 2, 9, 1
6, 2, 15, 14, 7, 1, 10, 5, 9, 8, 11, 0, 13, 4, 3, 12
6, 15, 10, 7, 5, 9, 12, 14, 8, 4, 3, 1, 0, 11, 13, 2
7, 4, 2, 3, 14, 5, 0, 8, 1, 6, 11, 15, 12, 9, 10, 13
11, 13, 14, 7, 4, 9, 6, 5, 3, 0, 8, 1, 2, 12, 15, 10
0, 9, 8, 3, 1, 5, 6, 10, 2, 7, 13, 4, 14, 12, 15, 11
11, 5, 10, 14, 9, 12, 6, 13, 1, 2, 7, 3, 15, 8, 0, 4
9, 12, 10, 7, 3, 11, 2, 13, 15, 14, 5, 6, 0, 8, 1, 4
12, 1, 3, 8, 2, 11, 15, 9, 14, 5, 4, 10, 13, 7, 6, 0
0, 12, 13, 9, 6, 5, 4, 15, 7, 2, 11, 1, 10, 8, 3, 14
3, 5, 1, 7, 9, 6, 2, 11, 15, 14, 13, 4, 10, 12, 0, 8
14, 1, 11, 3, 8, 2, 9, 10, 7, 15, 5, 13, 4, 6, 12, 0
